Review,Total
항상 추가하는 당면이 품절된건 아쉽지만 넘 맛있어요 담에도 잘부탁해여!,5
매운 까르보나라 떡볶이 세트를 시켜 먹었는데! 양은 2명이 든든하게 먹을 양이고 배달도 30분만에 왔어요! 맛은 크림맛이 진할거라고 생각했는데 생각보단 밍밍한 느낌? 크림맛이 진했으면 더 좋았을거 같아요 떡은 길쭉길쭉하고 다양해서 먹는 재미는 있었어요!,4
맛있어욤!!굿굿 담에또 시켜먹을게용,5
너무 맛있어요. 심지어 단무지까지도 맛있다는.. 남는건 사탕뿐ㅋㅋ,5
항상 맛있게 먹고 있어요^^,5
떡도 길고 오뎅도 얇고 길어서 재밌고 맛있네요.,4
맛나게 잘 먹었습니당 🙃🙃🙃🙃🙃,5
떡이 치즈떡 콘치즈떡 일반떡 종류가 다양하게 들어가서 골라먹는 재미가 있었어요~ 잘먹었습니다!,5
맛있게 잘먹었어요👍👍👍 떡이랑 오뎅이랑 신기하네요.길죽길죽 튀김이 깨끗해서 맘에들어요.. 대박나세요,5
맛있어요! 양도 엄청많고 써비스도 많이주셨어요 다음엔 매콤도한번 시켜먹어볼게요!~,4
떡이 긴건 알고 주문했는데 어묵도 길줄은 몰랐네요 ㅎㅎ 사탕도 같이 주셔서 열자마자 웃음이 나오는 서비스였어요!! 그리고 떡도 치즈떡이랑 안에 옥수수들어있는 떡도 있고 3가지 종류였어요!! 저는 다음에도 시켜서 먹게 될거 같아요 이번엔 보통맛 주문했었는데 매운걸 못먹는 저도 하나도 안매웠어서 다음번에 한단계 높혀서 시켜 먹을려구요!!,4
맛있게 잘먹었어요~~ 분식을 좋아하는데 여기 단골찜이요^^ 급하게먹느냐 사진찍을 생각을못했네요ㅠ 담번엔 사진리뷰할께요!,5
엄청 떡볶이를 좋아하는 사람으로 짱이에요~👍🏻서비스사탕도 에이스도 잘먹었습니다. 단골되야겠어요~^^ 대박나세요~👋🏻,5
양도많고 간식도많이주셧어요 ★근데좀더매웟으면좋겟어요;;;,3
최애 떡볶이집인데 요기요에서 보니 기쁘네요ㅋ,5
오떡후 처음주문해봤어요 배달도 빠르고 맛있는 저녁했네요 긴떡이랑 오뎅이랑 신기하네여 ㅋㅋ 다음에 떡뽁이 시킬땐 다른맛 도전이오👍👍,5
고급스럽게 포장되어 있어서 색달랐습니다. 치킨도 맛잇엇고 다 좋았어요~~,5
맛있게 잘 먹었습니다~ 근데 순살을 시켰는데 뼈가 왔어요 ㅠㅠ,5
최근에 먹은 치킨중에 가장 맛있게 먹었어요. 예전에 다른 점포에서도 맛있게 먹었는데 확실히 좋은것 같습니다. 마감 앞두고 주문했는데도 닭 상태도 좋았고 굉장히 따뜻하게 배달됐어요. 덕분에 맛있게 먹었습니다. 고추마요 소스가 기본으로 오는게 좋네요,5
간이쌘편이지만 맛있는편 살짝고기냄세나는부분만개선되었으면,5
신랑이 처가집 양념치킨 좋아하는데 거기보다 양념이 훨씬 맛있다고 칭찬했어요,5
잘먹었습니다 맛있네요,5
아따 맛이 명품이네요,5
치킨덩어리가 커요 소스의 기름기가 많은편,4
순살양념 부드럽고 너무 맛있어요 애들이 너무 좋아해요,4
맛있게 잘먹었습니다,5
맛있어요!!!!!••,5
후라이드를 시켰는데 너무 눅눅하네요.... 바삭함이 1도 없네요 밑간은 살짝 짜지만 맛있더군요,3
여러분 피자는 절대ㅜ시키지마세여 냉장고맛나고 윽 오뚜기피자보다도 별로.. 치킨은 맛잇어요,4
매번 시킬때마다 맛나요!!,5
맛있어요 양이 약간 적어서 아쉽습니다,5
첫 리뷰 달아봐요! 맛도 좋도 최고에요!,5
맛도있구 배달도 정상시간에 왔어요~! 다음에 또 시켜막을게옹,5
늦은시간에 주문했는데 따뜻하게 잘 먹었어요 배달 해주신분이 너무 친절하셔서 너무 감사했어요,5
야식으로 좋았습니다,5
뼈해장국 먹고싶어서 시켰는데 뼈해물찜도1인용이라 혼자먹기 좋고 별미네요 굿,5
항상 맛있게 잘먹고 있어요! 서비스 주먹밥도 짱짱,5
배달은 많이늦었지만 ㅠㅠ 맛있고 인기 많아서 그런지..? 양도 많고 조미료맛 않나고 너무 맛있게 잘먹었습니다 또 한동안 시켜먹을꺼같아요 지옥맛은 안매웠어요 딱 먹기좋은 매운맛이여서 다음엔 맵게 요청하려구요 또 찾아올게요,5
맛있게 잘 먹었습니다. 감사합니다.,5
엄청 맛있네요! 잘 먹었습니다~^^,5
맛이 넘넘 맛있어요,5
공기밥 별도라 해서 주먹밥 요청 했는데 밥이 또 왔네요 ㅎ..뼈찜은 늘 맛나요..맛있게 먹었습니다~~,5
맛있게 잘먹었어요👍👍👍 뼈찜 1인분도 배달돼서 너무 좋아요! 다음에 또 주문할게요^_^,5
에피소드가...... 있지만! 너무~~~~! 맛있어여! 양도 딱 좋아요!,5
양도 푸짐하고 맛있습니다. 감사합니다.,5
아이들이 맛있다고 하네요~~,5
계란찜 서비스도 주시고 일단 맛있고 양이 많아요 남은 건 냉장고 넣었다가 다음날 다진 마늘만 조금 해서 다시 후라이팬에 데워 맛있게 먹었어요,5
언제나 굿! ㅋㅋㅋ 긴말이 필요 없음,5
잘 먹었습니다! 많이 파세요!,5
시켜줬는데 맛있다고 하네요 엄청 맛있게 먹었다고 해서 뿌듯,5
다른 앱에서 요기요로 갈아탔는데 후기가 없어서 남깁니다. 계란찜 서비스 감사하고요. 언제나 푸짐하고 맛있는 밥상~ 왕밥에 고기랑 다른거 추가해서 먹는거 강추합니다~~,5
음식은 맛도 양도 괜찮은데 배달하는 분이 잔돈도 안갖고 다니네요 저도 잔돈이없어서 거스름돈이 없다고 하셔서 거스름돈 안받고 보냈네요 다음부턴현금결제하는분들생각해서 잔돈 깆고다니시면 좋겠습니다,3
맛있어요 굿굿굿굿굿굿,5
돈까스 양도 충분하고 부드럽고 맛있어요~,5
두번째 시켜먹었는데 맛나요 한끼식사로 딱이예용^^,5
너무 배고파서 사진 찍는것도 잊고 먹어버렸었네요ㅠㅠ 이벤트로 주신 치즈볼 너무 맛있었고 우선 양이 많아서 돈까스도 다 못먹고 동생 줘버렸네요ㅜ 돈까스 먹어본 집중에 여기가 제일 맛있는거 같아요~,5
물쫄면이랑 양파돈까스 처음 먹어보는데 완전 맛있어용 원래 쫄면 별로 안좋아하는데 물쫄면은 시원하고 촉촉해서 좋네요~ 암튼 다 맛있고 배부르게 먹었어용,5
소스좋아한다고 소스많이달라고까지햇는데 이건머.. 추가로 산 소스도 양이너무적어서 돈까스1장도제대로못찍어먹엇네요 나머지두장 어떻게먹어야될지모르겟네요 집에소스도없고 덕분에맛없게먹습니다,2
양많고 소스도 맛있었은데 고기가 질기고 퍽퍽했어요ㅠㅠ 튀김도 약간 눅눅하면서 딱딱하고ㅠㅠㅠ 전에 안그랬던거 같은데 맛은 있지만 식감이 별로얐습다,4
잘먹었습니당!!!!!,5
진짜완전짱맛있었어요 치즈볼도쫀맛탱 양도엄청많아요ㅜㅜㅜㅜㅜ 치돈오져여,5
소스에 따라 맛이 좌우되는것 같습니다~~ 양파 돈까스에는 양파소스보다 숯불소스가 더 맛있는것 같아요~~,4
양도 많고 진짜 맛있어요~^^,5
돈까스 맛있어요. 아이도 잘 먹네요. 양도 적당히 많아요. 다음에도 돈까스 먹고싶을때 시킬게요.,5
양도 많고 배달 빠르고 맛있었어요!! 잘 먹었습니다 :),5
맛있게 잘먹었습니다! 많이 파세요,5
양파 돈까스 진짜 맛있어요 특히 소스가 너무 맛있네요 오랜만에 시켰는데 만족이네요 딸도 치즈돈까스 맛있다네요,5
돈까스는 물론 맛있고 떡볶이 그냥 사이드 메뉴인줄 알았는데 양도 많아요. 튀김도 맛있긴 했는데 개취론 치즈볼이 더 맛있었어요,5
돈까스는 메뉴가 바뀌어 왔는데 맛은 괜찮았습니다~~ 쫄면과 떡볶이는 너무 맵기만해서 약간 아쉬웠습니다~~ 그래도 돈까스는 맛집인듯합니다~~ 돈까스 추천합니다^^,4
다먹어서 사진이 없아요 ㅜㅜ 너무 맛있었어요!! 다음에 또 시킬 거 같습니다,5
맛있습니다 다음에도 주문할게요,5
너무 맛있게 잘 먹었습니다~~!!,5
잘 먹었습니다~^^,5
맛있게 잘먹었어요^^,5
배달 포장상태 정말 깨끗하고 좋았구요 돈가스는 맛있었고 짬뽕국물은 진하고 좋았으나 면이 좀 풀어졌다고 해야하나 별도로 와서 그런건지 좀 별로였던것 같네요 게살튀김 맛있게 먹었어요 ^^,4
늘 맛있게 먹고 있어요^^,5
양으로 1차 만족 맛으로 2차만족!! 생선까스는 처음먹었는데 부드럽습니다!!!,5
양많고 맛있어요 자주 먹을께요 서비스도 감사합니다!,5
양도 많고 맛있게 먹었어요,5
양은 많지만 맛은 너무 큰 기대하지마세요..,2
맛있게먹었습니다. 양파랑 돈까스가 잘 어울리네여,5
오늘도 맛있게 먹었습니다,5
너무 맛있게 잘 먹었어요!,5
맛있게 잘먹었습니다~,4
배달 빠름 포장 깔끔. 양파돈까스 불닭만두 진짜 맛있음!,5
배달도 빠르고 양도 많아서 배부르게 맛나게 먹었네요 매운 크림 맛있네요 느끼하지 않고,5
믿고 먹는 돈까스에요~ 맛있고 배달도 빨리왔네요,5
배달도 빨랐고 음식도 맛있어요~ 양도 많고^^ 잘먹었습니다:),5
아이들이 늘 엄지척 하며 먹는 집이예요:) 애들이 먹어서 사진은 못 찍었지만 잘 먹었답니다!,5
양도 많고 돈까스도 너무 맛있네요!,5
울 애들이 맛있다고 하네요. 잘 먹었어요.,5
"여기 짬뽕맛집이네요!!어머나.. 당연히 돈까스도맛잇어요. 통통하니..바삭바삭! 서비스로 주신 게살튀김도 완전부드럽고, 짬뽕도 중국집보다도 맛잇어요!! 양이너무많아서 .. 숨이 턱턱막힙니다!너무너무 잘먹었습니다^^ 수고하세용^^~",5
맛있네용.잘먹었습니다,5
"돈까스,떡볶이,짬뽕 다 맛있었어요~ 이조합을 한번에 주문할수있어서 더좋구요 ㅎㅎ 잘먹었습니다~",5
돈까스 진짜 실하고 맛있습니다 저는 생선까스 남편은 돈까스 스타일이라 따로 시켰는데 둘다 너무만족 ㅎㅎㅎㅎ 서비스주신 게살튀김도 진짜 최고맛납니다 자주시킬것같아요!! 가성비최고!!!,5
맛도 양도 모두모두 만족합니다 오늘도 맛나게 잘 먹었어요 ~,5
냉쫄면이 시원하구 맛있어요 불닭만두는 맛있게 매콤하네요 돈까스는 역시 명불허전이네요,5
주말 저녁이라그런지 쫌 오래기다리긴했지만 치즈까스가 완전 굿굿~,5
떡볶이랑 돈가스전부 갓벽했습니다ㅠㅡㅠ,5
여기 돈까스 맛집이네요!!!!!,5
맛있게 잘 먹었습니다,5
배달도 빠르고 다 맛있고 양도 많네요 애용할듯 ㅎㅎ,5
양도 많고 완전 맛있네요ㅎㅎ 재주문 할게요,5
여기 떡볶이 전문점보다 맛있는 차돌떡볶이 두번드세요!!ㅋㅋㅋ 저렴하고 맛있어요!! 양파돈까스도 역시.. 굿 소스 맛있습니다!!,5
맛있게 잘 먹었어요,5
맛있어요 ㅋㅋㅋㅋㅋㅋㅋ,5
너무너무 맛있어요~~,5
맛있습니다 양도 꽤 많고 대신 기본 소스가 좀 부족해요 그래서 추가 시켰습니다!밥 빼고 사이드 좀만 더 달라고 부탁했더니 그렇게 해주셨어요 감사합니다~,5
첨주문했는데 맛있게 잘먹었습니다,5
"돈가스가 살짝 기름지긴 했지만, 대체적으로 맛은 괜찮았습니다. 떡볶이 떡이 많이 딱딱했고, 쫄면은 괜찮았습니다^^",4
항상 맛있어요~~^^,5
일단 배달이 빨라서 좋았어요 맛도 있고 양도 많아서 맛있게 먹었습니당ㅎ.ㅎ,5
오늘도 잘 먹었습니다~~,5
맛있게 잘먹었어요~~,5
맛있게 잘 먹었습니다~~!!,5
맛있어요 하나도안남기고 다먹었네요 특히짬뽕 정말맛있네요,5
양도많고 맛잇어요~~,4
믿고먹는 맛집입니다 빵가루도 예술 양도 많음,5
너무 맛있게 잘먹엇습다 굿굿,5
JMT ! JMT ! JMT !,3
맛있게 잘먹었습니다,3
맛있습니다. 돈까스는 양이 엄청 많고 비가 많이 왔는데도 너무 눅눅하지 않고 적당했습니다. 떡볶이는 죠스 떡볶이에 매운맛을 낮춘 맛이고 고춧가루 베이스에 국물이 많은 편입니다. 배달은 예상 배달 시간보다 15분 정도 일찍 왔습니다. 전반적으로 모든게 만족스러웠습니다.,5
소스가 너무 단것 빼고는 다 좋았습니다 양파 너무 좋습니다 많이 파세요~^^,4
최소주문금액 맞추느라 소떡소떡도 샀는데 좀 딱딱했어요 그거말고는 맛있게 먹었습니다!!,4
배달 빨리 왔어요. 저번에 시켰을때 맛있어서 또 주문해야겠다 싶었는데 이번에도 맛있네요. 돈까스 양 많고 바삭하고 좋네요. 치즈돈까스도 치즈 가득~ 쫄면은 살짝 달달 살짝 매콤하니 좋네요. 좀더 새콤한거 좋아서 식초 조금 첨가해서 먹으니 굿~! 리뷰이벤트선물 감사드리구요 안주셨어도 별5개드렸을듯! 코로나때문에 힘든시기지만 번창하세요.,5
아주 맛있고 양도 많았는데 쫄면은 딱딱했어요,5
처음시켰는데 잘먹었습니다.,4
"두 번째 주문^^* 역시 짱맛 ~ 👍 돈까스, 쫄면뿐만아니라 떡볶이랑 튀김도 맛나요^^*",5
이번에도 너무 맛있게 잘 먹었어요 ㅎㅎ 여기는 매번 돈까스가 바삭바삭해서 좋아요!! 사이다도 같이 왔는데 가족끼리 시원하고 맛있게 잘 먹었어요 감사합니다 ^^~~~,5
"치즈까스와 짬뽕을 한꺼번에 시킬수 있다니 참 좋네요. 예정된 시간보다 빠르게 배달되었구요, 포장도 깔끔하게 잘 왔어요. 특히 짬뽕을 국물과 면을 따로 보내주셨더라구요. 뿔지 않게 맛있게 잘 먹었습니다~ 다음에 또 시켜 먹을께요~",5
너무 맛있어요 짜장 떡볶이를 첨먹어봤는데 매콤한게 맛있고 돈까스도 양이 많아 남겼어요 잘먹었습니다,5
양파 돈가스 치즈 떡볶이 세트 메뉴 주문했는데 돈까스 치즈 떡볶이 모두 맛있게 먹었어요 담에도 GO~~,5
맛있어요~~~!!!,4
단골댓음 돈까스는 여기임 ㄹㅇ.. 근데 웃긴건 쫄면 냉쫄면 짬뽕 떡볶이가 왠만한 전문점같음 특히 쫄면은 꼭 시키삼 ㄹㅇ 놀람 냉쫄면도 리얼루다가 마싯음 고소한데 새콤매콤 또시켜애지 돈만대면,5
양파 돈까스 처음 주문했는데 넘 맛있네요 소스가 특별해서 더 맛난것 같아요,5
맛있게 잘먹었습니다,5
맛도 좋고 양도 푸짐하고~~자주 배달해서 먹겠습니다,5
배달도 너무 빠르고 맛있습니다. 치즈볼도 감사합니다,5
금액이나 맛 배달시간 다 만족요,5
돈까스도 피쉬까스도 단무지도 김치도 샐러드드레싱도 국물도 다 맛있었는데 쫄면 면발이 덜익어서 고무같았어요... 심지어 쫄면양념도 맛있었는데 면발이 너무 슬펐습니다...,3
점심메뉴 골라야 할때 고민하지 않아도 되서 좋네요.,5
쫄면 면은 하나도 안익고 불어서 우동면같고 돈까스 튀김옷도 맛도 최악임 옛날 돈까스가 이리 두꺼운건지 옛날 돈까스는 아주 얇게 바삭하게 만드는건대 옛날에 안먹어본거 같음 최악,1
돈까스맛있는거 알고있었는데 떡복이랑 쫄면도 맛있네요~~ 넘 잘먹었어요~~^^,5
잘먹었습니다~!!!^^,5
배달도 빠르고 맛있게 잘먹었습니다,5
배달빨랐고 맛있었어요 떡볶이 양이 엄청많아요,5
맛있게 잘 먹었습니다 ^^,5
아주 혜자스러운 프렌차이즈입니다,5
먹느라못찍었네용..맛있어요!! 비가와서 배달이 오래걸렸지만 돈까스는 바삭함이살아있네요👍,5
사진 찍는걸 깜박했어요 맛있어요!! 양도 푸짐하고 잘 먹었습니다!,5
좋아요 양도많고 맞나게 잘먹었습니다,5
치즈돈가스는 맛있었구요.함박스테이크는 별로임 함박스테이크는 추천하고싶지않네요.,3
여기 돈까스 맛있네영 ㅋ,5
양많고 맛있어요!! 다존맛탱 특히치즈볼존맛탱!! 감사합니다,5
돈까스 너무 맛잇어요 특히 양파 존맛탱,5
꿀맛 너무 맛있지만 양 너무 많아서 동생한테 짬 때렸다 ㅜㅜ 아쉽다 다 못먹어서 ㅠㅠ,5
배송문자 받고도 20분 넘게 걸리네요.. 배달 시간이 너무 오래 걸려 아쉽네요.,3
잘 먹었습니다......,4
"후기올리려 일단 한개씩 먹어보고 사진찍었네요ㅋㅋ 떡볶이 맛있고, 돈까스도 맛있고 쫄면은 싱거워요ㅜ 소스가 좀더 진했으면 싶고 소스양도 좀 부족해요. 맛은 있는것같은데 싱거워요.",4
처음 주문했는데 딸아이가 먹고싶어하던 치즈까스 비주얼이라 만족스럽고 맛있네요. 떡볶이는 제 입 조금 매워요 ㅎ,5
맛있게 잘 먹었습니더 ㅎㅎ 양도 많고 좋았어요,5
엄청나게맜있어요~^^,4
맛있는 저녁식사 였습니다^^,5
잘먹었습니다배터지게먹었습니다,5
잘 먹었습니다~~ 굳,5
맛있었어요..양도 아주많고,5
먹다가 사진 찍었네요 ☆돈까스 정말!! 맛있어요 ☆쫄면 맛있어요 양념!! 쫄면 면이 힘이 없어요 쫄깃함이 약간 아쉬웠어요 맛있게 잘 먹었습니다,5
정말 정말 맛있어요^^* 딸과함께 맛있다~~ 하면서 즐겁게 먹었어요. 돈가스도 바싹하니 넘 맛있고 쫄면도 맛있네요. 여기맛집추천👍,5
처음 주문했는데 아주 맛있게 잘 먹었습니다 양도 부족하지 않고 넉넉했어요,5
짬뽕사진을 못찍었는데 개인적으로 너무 맛있어요 먹고나서도 계속 생각나는맛이요 ㅎㅎㅎ 불맛이라고 해야하나... 왠만한 짬뽕집보다 더맛있구요 치즈돈까스도 새우튀김두 맛있어요~~~,5
배달도 빠르고 소스도 넉넉히 주셨네요! 맛있게 잘 먹었습니다!,5
맛있게 잘먹었습니다,3
배달이 무척 빨리 오고 쫄면이 정말 제 취향이에요. 맛있어요! 돈까스도 바삭바삭하고 양이 많은 편이에요. 잘 먹었습니다! 번창하세요,5
감사합니다잘먹었습니다,5
처음 시켜봤는데 넘 맛있어요. 아이가 왕돈가스를 잘먹네요 굿굿!!,5
처음 먹어봣는데 정말 맛있네요 푸짐허니 좋아요~,5
맛있게 잘먹었습니다,5
여긴 돈까스만 맛있는게 아니라 짬뽕밥도 불맛나고 맛있어요^^,5
쫄면이랑 돈까스랑 잘어울리네요 게살튀김 핵꿀맛이네요 다들 꼭드세요,5
맛있게 먹었어요^^ 소스가 조금 더 있었으면 더 좋았을 것 같아요~~,5
맛있어요~~~~~~,5
배달도 빠르고 양이나 맛이나 제일 좋아서 항상 여기서 시켜먹어요~,5
잘먹었습니다. 쫄면은 소스가 부족했는지 싱거웠어요,5
배달완전빠르고 언제나 맛있어용~,5
늘 맛있게 먹어요 ~~^^,5
배달시간보다 엄청 빨리 와서 놀랐어요~~^^ 항상 시켜먹는데 넘 맛나요~~~,5
배달도 빠르고 맛있습니다,5
치돈이랑 양파돈까스 중에는 치즈돈까스가 제일맛있습니다! 배달해주신분도 친절하시고요 다음에 또 시킬게요! 👍,5
특등심돈까스 두툼하고 맛있어요~왕치즈롤은 치즈듬뿍 너무 맛있어요 👍👍,5
사진을 못찍었으나 함박스테이크 왕 맛있었어요!~~~,5
맛있게 잘먹었습니다.,5
배달 진짜 빨리왔어요! 빨리왔는데도 좀 식어서 아쉬웠지만 맛은 최고...👍🏻👍🏻 잭다니엘 소스 넘 좋아요 양 넘 많아서 남겼네요ㅠㅠ,4
"아이가 먹은 돈까스,남편이 주문한 떡볶이,제가 시킨 짬뽕 모두 맛있었어요 짬뽕은 면 따로 넣어주신점 좋았어요♡♡",5
그냥 믿고 드세요 맛있어요!!!,5
양도 많고 맛도 좋아요~^^,5
시킨지 6분만에 온다고 톡이와서 깜짝놀랐네요..ㅎㅎ 배달 엄청빨랐어요,4
일반적인 쫄면 잘 먹었습니다.,3
맛있게 잘 먹었어요^^,5
양파돈까스는 늘 최고입니다! 아들도 치즈롤 돈까스는 뚝딱 먹어요 ㅋㅋ 게살튀김도 너무 맛있어요! 담엔 그냥 추가주문해야겠어요 ㅋㅋ,5
별 기대 안하고 시켰는데 치즈 두께가 너무 조앗고 왕돈까스였나? 세장이나 있어서 배불르게 먹엇어요 ㅎㅎ,5
돈까스 원탑 돈까스극장,5
"저번에 먹고 너무 맛있어서 또 주문했습니다~ 날이 습한데도 바삭바삭한 돈까스를 받아볼 수 있어 좋았어요! 맛도 너무 좋구요. 서비스 사이다가 누락됐지만 대신 가격 조금 할인해주셨어요 ㅎㅎ 한 가지 아쉬운 점은 쫄면을 오늘 처음 시켜보는 거라 원래 어떤지는 모르겠지만 면이 설익은 거 같아요 ㅠㅠ 맛은 있긴 한데,, 많이 바쁘셨나봐요 못 먹을 정도는 아니라 그냥 먹었는데 다음에 시킬 때는 조금만 더 신경써주세요~",5
맛도맛이지만 양이 너무 푸짐했습니다. 떡볶이도 맛나도 서비스로주신 치즈볼도 너무맛있었습니다. 배달도 빨랐고. 돈가스 먹고싶을때 재주문 의사 100인집입니다,5
맛있게잘먹었어요 남편도 맛있다고하네요 ㅎ,5
비가많이왔는데 배달해주셔서 감사합니당 맛있게잘먹었어용~,5
양파가 돈까스의 느끼함을 잡아줘서 질리지않고 맜있네요 짬뽕은 진정한불맛!,5
배달이빨리와서 식기전에 맛잇게먹었습니다,5
항상 믿고먹는 핵꿀맛입니다. 주신 서비스 잘 먹겠습니다.,5
리뷰 늦어서 죄송해요 맛있게 잘 먹었습니다!!,5
오랜만인데도 너무 맛있습니다,5
쫄냉은 처음 먹었을때 맛있는데 점점 먹을수록 너무 시다고 하더라고요 그것만 조절 하셔서 보완 하시면 될 것 같아요! 나머지는 늘 맛 그대로라서 너무 맛있었습니다!,5
잘 먹었어요 돈까스집은 돈까스..,5
맛있게잘먹었습니다.,5
어제 비가와서 그런지 평소보다 돈가스 바삭함이 덜했어요~~,4
잘먹었습니다~양많고 좋아요^^,5
먹느라사진은 못찍었지만 감튀양이 진짜 많아서 놀랏어요 ㅎㅎ 아이들이랑 저랑 감튀 엄청 좋아하는데 양이 많아서 안싸우고 사이좋게 먹엇어요 ㅋㅋㅋㅋ 돈까스랑 우동도 맛잇음! 떡볶이두요 ㅠㅠ 기대안하고 시켯는데 맛잇어서 또 시켜먹을거에요 ㅎㅎㅎ 아 고구마치즈스틱은 큰애가 맛잇다고 엄지척! 하며 두개 다 먹엇어요.. ㅋㅋㅋㅋㅋ,5
아이들과 먹기에 너무 딱 좋아요^^♡ 맛있고 양도 많아요^^♡,5
맛있게 잘먹었어용~~^^,5
맛있게 잘먹었습니다,5
넘넘 맛있어요! 오늘도 잘 먹었어요!^^,5
치즈돈까스 맛있어요. 하루건너 두번이나 배달 해서 먹었어요. 후회하지않네요. 사진이 없어서 아쉽네요.,4
맛있었어요~~ 특히 치즈롤가스 순삭입니다.,5
맛있어요. 바삭바삭 하면서 쫄깃쫄깃한기,5
맛있게잘먹었습니다요,5
드셔보세요 진짜 맛있습니다,5
넘 맛있게 먹었어요..양파 돈까스 맛있어요..~추천합니다.~~,5
너무 맛있게 잘 먹었어요 ㅎㅎㅎ 음식들이 전체적으로 다 맛나고 다른 돈까스도 꼭 먹어보려구요!,5
배달 빠르고 양도많고 맛있네요. 다만 물쫄면 육수가 좀 짜네요.. 그것빼곤 완전만족입니다.,5
지난번 돈까스 시켜먹고 맛있어서 또 주문합니다 왕돈까스 양도많고 맛있네요 오늘은 쫄면도 시켜봤는데 이것도 맛있네요 다음엔 떡볶이도 시켜봐야겠어요~~^^,5
"맛있네요~ 잘 먹었습니다,",5
맛있게 잘 먹었습니다~,5
항상 믿고 먹는 돈까스,5
맛있게 잘먹었습니다 돈가스 생각날때 또 시킬게요^^,5
맛있게 잘먹었습니다 ~~~,4
저번에도 시켜 먹었는데 맛있어서 또 주문했어요 역시 양도 많고 진짜 맛있어욧 배고팠는데 배달도 엄청 빨라서 좋았어요!!! 양파돈까스 존맛,5
정말 맛있게 먹었어요 사진은 깜박했네요 ^^,5
쫄면도 맛있지만 양파돈까스는 정말 맛있네요 양파가 느끼함도 잡아주고 맛있어요~!,5
맛있게 잘 먹었어용~,5
와 배달도너무빠르고 돈까스 진짜좋아하는데 여기 돈가스는 종류별로 다하나씩 먹어봐야겠네요~.~,5
맛있게잘먹었네요 담에또주문할께요 리뷰요청도잘들어줘서좋네요,5
맛있게 잘먹었습니다. 짬뽕에 기름이 많긴 많아요ㅎ,5
배달 요청 시간 딱 맞춰 도착했어요~ 여기서 돈까스 처음 시켜먹어보는지라 걱정했는데 그런 고민 무색하게도 정말 맛있었어요! 양파돈까스는 탕수육 소스랑 비슷한 맛이 나는 소스와 함께왔는데 양파가 같이 있어서인지 궁합이 좋더라구요 떡볶이도 치즈 듬뿍 올라거서 너무 좋았어요 사이드로 시킨 감자튀김도 정말 푸짐했구요 동생이랑 정말 배불리 잘먹었습니다!,5
여기에서 치즈 롤까스만 열 번은 넘게 시켜먹은 듯 하네요~ 왕치즈 롤까스는 요기요에서 여기가 제일 맛있음,5
배달도빠르고 서비스도좋고 아주맛있습니다.,5
돈까스 맛있어요^^ 근데 제가 짬뽕을 워낙좋아해서..돈까스 시키려다 짬뽕시켰는데 여기짬뽕은 맵고 면도 불지않고 따뜻하게와서 좋은데 고추기름이 많아서 개인적으로는 아쉽네요ㅜㅜ 이건 개인취향차이라서요..^^; 그래도 핫도그랑 돈까스는 만족합니다,5
매번 맛있게 먹고있습니다~ 리뷰 서비스도 너무 좋아용,5
맛있었어요~ 종종 시켜먹을게요!,5
오늘도 맛있었다!!! 빠른배달과 푸짐한양 감사합니다,5
늘 잘 먹고 있습니다~ 굳,5
양파돈까스는 꼭 먹어봐야해요 ㅋㅋ 처음 시켜보는 매운크림돈까스도 엄청 맛있게 먹었습니당!!,5
맛있어요!!!! 양파양도 많고 돈까스양도 많구ㅋㅋ 많이시켜먹을게요!,5
맛집이라그런지 배달이 오래걸린것말곤 아주 죠습니다👍 돈까스는 여기가 원탑,5
돈까스는 바삭하고 치즈 잘 늘어나면서 달콤한게 겁나 맛있었고 떡볶이도 왠만한 떡볶이집보다 매콤달콤 훨씬 맛있어요ㅎㅎ,5
맛있게 잘먹었습니다~,5
먹느냐고 바빠서 사진을 못찍었어요 딸아이가 치즈돈까스덕후라 마니 먹어봤는데 이곳진짜 돈까스최애에요ㅠ 돈까스도 치즈돈까스도 다맛있네요^^ 그리고!!짬뽕!! 짬뽕전문점이라해도 모자르지않아요 남편이랑 국물도 싹다먹었네요 맛있습니다^^,5
배달빠르고 양많고 양파달달하니 맛있었어요!,5
냉면 메추리알 상했어요 썩은내랑 누린내 같이나네요 냉면은 절대 시키지말고 돈까스는 맛있어요 돈까스에 샐러드는 키위드레싱인지 너무 단맛? 아무튼 그것도 별로 음식 잘안가리는데 냉면은 좀 심해서 난생처음 글올리네요 배달은빨라요,3
돈까스 배달 시켜 먹으면서 이정도로 만족한거 첨이에요!! 양파는 소스가 좀 달긴한데 그래두 맛있습니다용 꼭꼭 뿌려드세요 양파에 소스가 스며들어 아주 존맛탱이구여 일반 돈까스 소수도 넘 맛있어요 돈까스 튀김도 바삭하고!! 그리고 꼭 쫄면이랑 갘이 드세여 ㅠㅠㅠ 으으으 또 먹고 싶다 !,5
푸짐하게 잘 먹었습니다 서비스 게살튀김도 정말 맛있네요 또 주문할게요,5
항상 맛있게.잘.먹고 있습니다~ 크림양파소스.올라간거 완전 맛좋아요 올라간.마늘.후레이크도 한수위 배달도.빠르고 친절하셔서 좋아요~!,5
맨날 시켜먹지만 돈이 아깝지가 않다,5
맛있어요~~^^ 빠른배달 굿,5
